month,hour,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,cloud_cover_pct,uv_index,weather_condition,next_temp_c
7,13,31.4,36.3,1016.3,21.7,19.3,9.2,Sunny,34.0
4,11,14.6,67.5,1017.1,1.8,42.3,5.5,Cloudy,12.8
11,19,2.8,72.0,999.8,26.7,100.0,0.2,Rainy,4.2
8,23,22.3,52.9,1013.5,26.8,41.8,0.3,Cloudy,25.4
5,3,7.9,69.3,1020.6,12.0,6.6,0.0,Sunny,9.4
7,20,29.1,28.1,999.2,29.2,32.3,0.7,Sunny,30.5
10,23,3.7,82.8,1026.3,45.5,9.1,0.0,Sunny,3.4
3,11,6.2,73.0,1008.5,22.5,53.0,5.0,Cloudy,7.1
7,9,21.7,50.9,1028.1,31.1,0.0,7.7,Sunny,24.4
11,21,1.4,70.7,1006.6,23.7,46.0,0.3,Cloudy,2.5
11,6,5.9,92.1,1000.7,23.6,60.1,0.5,Rainy,4.2
8,2,20.2,63.5,1007.5,29.0,58.4,0.7,Cloudy,19.9
5,22,19.9,64.8,1011.9,10.2,47.1,0.0,Cloudy,22.6
4,13,19.9,52.1,1008.3,1.9,48.0,6.6,Cloudy,21.0
8,23,15.5,44.5,1010.4,12.0,33.5,0.0,Sunny,16.2
8,9,24.4,68.0,1017.0,9.1,20.7,5.2,Sunny,23.9
3,15,7.7,72.9,1010.9,12.2,61.8,3.9,Rainy,10.3
6,15,35.2,24.6,1012.2,10.9,47.3,4.7,Cloudy,38.7
5,21,12.7,70.2,992.5,46.2,86.0,0.4,Rainy,15.4
2,9,5.0,89.2,1017.7,23.2,49.0,4.1,Cloudy,8.1
8,12,32.9,35.4,1011.9,15.4,5.0,9.3,Sunny,32.7
12,5,3.0,93.4,1032.3,35.2,22.7,0.3,Sunny,2.6
6,11,26.7,55.7,1001.7,17.1,62.7,4.3,Cloudy,26.9
2,8,2.7,70.1,991.3,20.6,97.8,0.7,Rainy,3.3
12,12,14.2,57.0,1020.4,21.8,32.7,7.2,Sunny,17.3
5,3,10.7,78.5,1017.2,23.3,60.7,0.2,Rainy,13.3
1,23,-12.4,76.4,1000.9,25.7,82.3,0.2,Snowy,-10.9
12,10,-4.6,90.5,994.6,29.7,98.5,1.3,Snowy,-6.7
10,19,16.4,46.1,1031.4,37.9,0.0,0.4,Sunny,13.9
6,17,20.8,49.0,1030.0,31.7,11.4,4.1,Sunny,21.8
12,10,1.4,79.9,983.2,61.3,88.0,1.9,Stormy,3.5
9,20,20.7,50.3,1007.5,28.5,43.7,0.0,Cloudy,21.1
1,3,-7.1,90.1,1033.0,43.6,38.0,0.5,Sunny,-3.1
11,17,10.9,57.6,1007.3,24.9,74.1,1.8,Cloudy,9.5
11,0,0.7,100.0,1007.1,8.7,59.2,0.1,Cloudy,-1.0
10,6,14.1,82.5,1009.6,21.4,70.1,0.5,Rainy,13.4
12,5,-8.2,85.6,999.5,31.2,100.0,0.0,Snowy,-8.9
12,14,3.2,96.1,992.5,41.4,100.0,0.9,Rainy,4.6
3,17,6.2,71.8,1025.6,31.1,43.8,3.0,Cloudy,5.9
12,23,-1.0,87.9,990.9,42.2,100.0,0.2,Snowy,-3.3
7,10,32.6,35.5,1016.0,37.2,39.8,5.4,Sunny,34.7
4,19,15.4,55.4,1023.6,24.2,6.5,0.7,Sunny,12.7
9,23,19.5,65.6,995.6,40.4,51.3,0.0,Cloudy,18.1
3,14,6.3,76.8,1001.9,21.5,70.3,4.4,Rainy,3.9
5,15,31.5,33.0,1027.6,35.8,0.0,8.6,Sunny,32.3
3,6,8.1,59.8,1019.4,27.2,50.7,0.2,Cloudy,8.9
7,20,28.9,32.7,1005.6,23.8,52.3,0.0,Cloudy,32.9
5,9,27.7,27.1,1027.4,42.7,0.0,7.3,Sunny,29.8
9,11,16.6,60.2,1027.5,22.3,14.9,7.7,Sunny,19.7
7,23,19.7,43.5,1016.2,12.0,24.6,0.0,Sunny,20.7
2,13,2.7,78.2,1002.2,26.7,71.8,3.9,Rainy,1.5
4,4,9.7,84.2,1008.0,25.0,68.3,0.2,Rainy,10.4
9,20,14.8,74.8,1016.4,17.6,55.6,0.3,Cloudy,16.4
12,17,7.1,74.0,1010.7,25.0,52.6,3.1,Cloudy,8.9
2,4,0.2,83.9,1024.3,20.2,56.0,0.4,Cloudy,-0.2
10,2,8.8,90.6,994.6,24.9,97.7,0.1,Rainy,10.2
9,22,17.1,64.5,995.1,36.0,62.9,0.2,Cloudy,16.0
10,4,2.9,77.4,1015.2,14.0,71.0,0.0,Rainy,1.5
5,23,11.4,53.7,1007.1,23.4,26.1,0.0,Sunny,9.9
2,16,10.1,73.8,1005.5,20.8,61.6,3.7,Rainy,10.6
4,18,18.1,66.1,991.8,34.7,92.6,1.0,Cloudy,16.5
12,18,2.7,74.6,1013.2,11.7,41.0,1.9,Cloudy,2.5
12,20,-1.8,90.6,1012.4,13.0,69.0,0.0,Snowy,0.3
7,11,22.1,48.2,1020.8,19.0,30.1,7.5,Sunny,20.8
12,8,-4.4,89.8,1013.8,11.4,48.7,2.2,Cloudy,-4.8
8,0,26.6,20.3,1011.4,10.7,15.5,0.5,Sunny,27.2
